item_id,category,price
1,Electronics,110.83
2,Clothing,54.1
3,Sports,72.41
4,Electronics,40.41
5,Books,182.15
6,Food,118.76
7,Electronics,83.17
8,Electronics,95.09
9,Clothing,189.72
10,Sports,34.9
11,Food,119.31
12,Books,103.65
13,Food,124.23
14,Books,8.53
15,Sports,175.06
16,Books,186.76
17,Clothing,115.2
18,Clothing,140.85
19,Clothing,184.89
20,Clothing,142.91
21,Food,34.75
22,Sports,117.38
23,Books,123.31
24,Books,87.71
25,Clothing,148.61
26,Clothing,187.2
27,Electronics,185.49
28,Sports,92.91
29,Food,27.08
30,Books,197.04
31,Electronics,168.59
32,Electronics,29.31
33,Books,184.56
34,Food,174.63
35,Electronics,106.17
36,Electronics,120.3
37,Sports,82.81
38,Food,15.68
39,Electronics,70.36
40,Food,161.56
41,Books,5.9
42,Clothing,70.03
43,Electronics,82.64
44,Sports,109.79
45,Books,184.37
46,Food,72.54
47,Books,72.66
48,Electronics,148.81
49,Food,93.18
50,Clothing,48.8
51,Books,93.23
52,Electronics,32.47
53,Sports,39.4
54,Food,102.18
55,Books,86.69
56,Books,183.39
57,Clothing,75.67
58,Clothing,118.21
59,Sports,128.29
60,Sports,7.55
61,Electronics,134.39
62,Electronics,39.72
63,Sports,192.41
64,Sports,33.99
65,Food,85.85
66,Clothing,21.64
67,Electronics,199.39
68,Clothing,102.93
69,Clothing,121.1
70,Sports,18.08
71,Food,151.24
72,Books,45.93
73,Food,180.12
74,Food,45.0
75,Clothing,42.18
76,Food,12.13
77,Electronics,97.05
78,Clothing,115.14
79,Electronics,17.81
80,Books,156.23
81,Clothing,93.39
82,Books,107.26
83,Clothing,90.95
84,Sports,83.15
85,Food,114.13
86,Sports,35.27
87,Books,40.48
88,Food,173.05
89,Clothing,189.49
90,Food,77.8
91,Electronics,57.8
92,Food,130.58
93,Electronics,84.7
94,Food,9.95
95,Electronics,35.45
96,Books,144.61
97,Sports,133.49
98,Clothing,10.28
99,Food,48.28
100,Sports,50.06
101,Clothing,136.02
102,Clothing,8.84
103,Electronics,25.3
104,Books,160.98
105,Books,39.82
106,Sports,132.29
107,Books,51.45
108,Food,24.39
109,Books,52.42
110,Sports,145.84
111,Books,171.86
112,Food,166.89
113,Electronics,82.45
114,Sports,135.28
115,Electronics,44.97
116,Electronics,62.16
117,Electronics,179.79
118,Clothing,7.54
119,Clothing,21.67
120,Electronics,45.54
121,Sports,10.17
122,Food,40.38
123,Food,118.69
124,Books,87.18
125,Sports,179.07
126,Clothing,164.4
127,Electronics,71.65
128,Books,55.59
129,Food,79.04
130,Clothing,120.11
131,Clothing,57.27
132,Electronics,126.71
133,Food,84.84
134,Sports,112.65
135,Clothing,90.04
136,Electronics,62.42
137,Sports,189.95
138,Food,153.9
139,Clothing,32.32
140,Sports,174.35
141,Sports,100.05
142,Sports,179.44
143,Clothing,160.97
144,Clothing,87.92
145,Books,9.38
146,Food,57.39
147,Electronics,110.62
148,Sports,128.53
149,Books,55.29
150,Electronics,32.17
151,Books,167.81
152,Clothing,196.96
153,Sports,107.51
154,Electronics,38.48
155,Electronics,58.1
156,Electronics,8.59
157,Electronics,183.29
158,Electronics,27.96
159,Books,117.42
160,Sports,58.44
161,Clothing,113.06
162,Clothing,132.03
163,Clothing,166.8
164,Clothing,45.25
165,Books,7.14
166,Food,31.69
167,Sports,180.5
168,Electronics,175.41
169,Food,121.5
170,Clothing,122.1
171,Food,134.68
172,Sports,39.2
173,Electronics,183.31
174,Electronics,86.66
175,Sports,79.71
176,Sports,106.19
177,Clothing,14.16
178,Electronics,37.43
179,Food,148.92
180,Books,21.15
181,Books,122.61
182,Sports,52.84
183,Clothing,80.91
184,Books,61.3
185,Electronics,74.36
186,Sports,145.21
187,Food,62.94
188,Sports,115.45
189,Food,97.83
190,Sports,134.42
191,Sports,187.68
192,Sports,147.85
193,Food,46.91
194,Food,11.08
195,Sports,56.14
196,Books,121.04
197,Clothing,15.03
198,Clothing,101.79
199,Clothing,121.38
200,Food,70.18
